 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  3.66122E+06,  0.00000E+00,  0.00000E+00,  1.00535E+06,  2.00000E-01, Mon Mar  9 17:03:26 2020
   2,  1.72358E+04, -9.95292E+01, -9.95292E+01,  1.90301E+04,  2.00000E-01, Mon Mar  9 17:03:27 2020
   3,  1.17692E+04, -9.96785E+01, -1.49309E-01,  1.53691E+04,  2.00000E-01, Mon Mar  9 17:03:27 2020
   4,  4.62797E+03, -9.98736E+01, -1.95052E-01,  7.94381E+03,  2.00000E-01, Mon Mar  9 17:03:27 2020
   5,  1.93500E+03, -9.99471E+01, -7.35539E-02,  4.17004E+03,  2.00000E-01, Mon Mar  9 17:03:27 2020
   6,  9.78792E+02, -9.99733E+01, -2.61171E-02,  2.49372E+03,  2.00000E-01, Mon Mar  9 17:03:27 2020
   7,  5.73799E+02, -9.99843E+01, -1.10617E-02,  1.65973E+03,  2.00000E-01, Mon Mar  9 17:03:27 2020
   8,  3.68517E+02, -9.99899E+01, -5.60694E-03,  1.18201E+03,  2.00000E-01, Mon Mar  9 17:03:27 2020
   9,  2.50239E+02, -9.99932E+01, -3.23055E-03,  8.77649E+02,  2.00000E-01, Mon Mar  9 17:03:28 2020
  10,  1.76028E+02, -9.99952E+01, -2.02697E-03,  6.69105E+02,  2.00000E-01, Mon Mar  9 17:03:28 2020
  11,  1.26787E+02, -9.99965E+01, -1.34492E-03,  5.19122E+02,  2.00000E-01, Mon Mar  9 17:03:28 2020
  12,  9.28870E+01, -9.99975E+01, -9.25925E-04,  4.07735E+02,  2.00000E-01, Mon Mar  9 17:03:29 2020
  13,  6.89589E+01, -9.99981E+01, -6.53555E-04,  3.23214E+02,  2.00000E-01, Mon Mar  9 17:03:29 2020
  14,  5.17701E+01, -9.99986E+01, -4.69483E-04,  2.58118E+02,  2.00000E-01, Mon Mar  9 17:03:29 2020
  15,  3.92595E+01, -9.99989E+01, -3.41705E-04,  2.07444E+02,  2.00000E-01, Mon Mar  9 17:03:29 2020
  16,  3.00583E+01, -9.99992E+01, -2.51316E-04,  1.67673E+02,  2.00000E-01, Mon Mar  9 17:03:29 2020
  17,  2.32310E+01, -9.99994E+01, -1.86477E-04,  1.36259E+02,  2.00000E-01, Mon Mar  9 17:03:29 2020
  18,  1.81236E+01, -9.99995E+01, -1.39500E-04,  1.11302E+02,  2.00000E-01, Mon Mar  9 17:03:30 2020
  19,  1.42730E+01, -9.99996E+01, -1.05173E-04,  9.13736E+01,  2.00000E-01, Mon Mar  9 17:03:30 2020
  20,  1.13474E+01, -9.99997E+01, -7.99052E-05,  7.53808E+01,  2.00000E-01, Mon Mar  9 17:03:30 2020
